model,n_runs,quality,det_score,quality_sd,dnf_rate,trunc_rate,decode_tps,prefill_tps,wall_s,membw_peak_mb_s,safety,quality_nonsafety,energy_wh_controlled,energy_wh_all,family,org,arch_class,training_regime,quant,bracket,legacy_footprint_bracket,is_moe,thinking_capable,tools_capable,license,params_b,size_gb,native_ctx,quality_per_gb,quality_per_bparam,quality_per_sec,quality_per_wh_controlled
deepseek-coder:1.3b,95,1.4789473684210526,0.6394842105263158,0.647892612726816,0.0,0.37894736842105264,21.24757894736842,5277.102842105263,19.074105263157893,17120.462105263156,1.8166666666666667,1.323076923076923,,0.09732368421052631,deepseek-coder,DeepSeek,dense,code/math,Q4_0,1-2B,1-2B,False,False,False,deepseek-license,1.346471936,1.74,,0.8499697519661221,1.0983870728227734,0.07753691971479659,
deepseek-coder:1.3b-instruct-q8_0,95,1.5052631578947369,0.6802105263157895,0.6704029307704927,0.0,0.4,13.458631578947367,3238.7085263157896,29.662,19137.36,1.65,1.4384615384615385,,0.1572396842105263,deepseek-coder,DeepSeek,dense,code/math,Q8_0,1-2B,1-2B,False,False,False,deepseek-license,1.346471936,2.4,,0.6271929824561404,1.1179313267875914,0.050747190273573495,
deepseek-r1:1.5b,95,1.2578947368421052,0.44805263157894737,0.4939159518837147,0.0,0.6,13.330526315789475,1948.1317894736842,37.56431578947369,13439.914736842104,1.2166666666666666,1.2769230769230768,0.08710336842105264,0.08710336842105264,deepseek-r1,DeepSeek,dense,reasoning,Q4_K_M,1-2B,1-2B,False,True,True,MIT,1.777088,1.38,131072.0,0.9115179252479024,0.7078404315611299,0.03348642748857398,14.441401746503246
deepseek-r1:1.5b-qwen-distill-q8_0,95,1.4052631578947368,0.4721157894736842,0.6891821272198542,0.0,0.5894736842105263,11.632631578947368,1762.1814736842105,42.85136842105263,19411.277894736842,1.45,1.3846153846153846,,0.2247501052631579,deepseek-r1,DeepSeek,dense,reasoning,Q8_0,1-2B,1-2B,False,False,False,MIT,1.777088,2.16,,0.6505847953216374,0.790767344045279,0.03279389222968989,
deepseek-r1:7b,95,1.5894736842105264,0.39222105263157897,0.8659607484852496,0.7473684210526316,0.14736842105263157,3.7025,637.49,128.85442105263158,16225.134736842107,1.8833333333333333,1.4538461538461538,0.32367526315789474,0.32367526315789474,deepseek-r1,DeepSeek,dense,reasoning,Q4_K_M,4-5GB,4-5GB,False,True,True,MIT,7.615616512,5.22,131072.0,0.30449687436983264,0.2087124110971157,0.01233542218595118,4.910704848751917
falcon3:1b,95,1.7052631578947368,0.6303684210526316,0.8520773640148631,0.0,0.3894736842105263,13.255376344086022,2174.910736842105,30.25494736842105,16770.36842105263,2.1333333333333333,1.5076923076923077,,0.152012,falcon3,TII,dense,instruct,Q8_0,1-2B,1-2B,False,False,False,Falcon-LLM-License,1.669408768,2.24,,0.7612781954887217,1.0214772981800566,0.05636311764583087,
falcon3:1b-instruct-q8_0,95,1.7052631578947368,0.6303684210526316,0.8363253491229751,0.0,0.3894736842105263,13.259784946236561,2184.230842105263,30.291999999999998,16715.305263157894,2.1,1.523076923076923,,0.14600315789473683,falcon3,TII,dense,instruct,Q8_0,1-2B,1-2B,False,False,False,Falcon-LLM-License,1.669408768,2.24,,0.7612781954887217,1.0214772981800566,0.056294175290331996,
falcon3:3b,95,2.0789473684210527,0.6391052631578947,1.0450384027191988,0.0,0.021052631578947368,11.25554347826087,1791.3251578947368,20.44494736842105,14399.941052631579,2.15,2.046153846153846,,0.12434705263157894,falcon3,TII,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,Falcon-LLM-License,3.227655168,2.56,,0.8120888157894737,0.6441045465551581,0.10168514161264913,
falcon3:3b-instruct-q4_K_M,95,2.0473684210526315,0.6391052631578947,1.0107762032392307,0.0,0.021052631578947368,10.885760869565217,1764.3351578947368,21.178526315789473,14013.147368421052,2.1166666666666667,2.0153846153846153,,0.1074878947368421,falcon3,TII,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,Falcon-LLM-License,3.227655168,2.56,,0.7997532894736842,0.6343206800252063,0.09667190202588521,
falcon3:3b-instruct-q8_0,95,2.336842105263158,0.6944105263157894,1.0222058575597985,0.0,0.0,6.970989010989011,1149.2651578947368,31.789263157894737,,2.45,2.2846153846153845,,0.3144321052631579,falcon3,TII,dense,instruct,Q8_0,3-4B,3-4B,False,False,False,Falcon-LLM-License,3.227655168,3.99,32768.0,0.5856747130985358,0.7240061232164309,0.07351042059881191,
gemma2:2b,95,2.5631578947368423,0.7870526315789473,0.9116331652564647,0.0,0.0,8.373684210526315,115.56484210526315,30.062736842105263,13744.628421052632,3.183333333333333,2.276923076923077,0.07168294736842105,0.07168294736842105,gemma2,Google,dense,instruct,Q4_0,2-3B,2-3B,False,False,False,Gemma,2.614341888,1.96,8192.0,1.307733619763695,0.9804218440219715,0.085260297763274,35.75687089934037
gemma2:2b-instruct-q8_0,95,2.626315789473684,0.7719684210526316,0.8750939799154206,0.0,0.0,7.08,125.8722105263158,30.64505263157895,19692.92,3.183333333333333,2.3692307692307693,,0.14954978947368422,gemma2,Google,dense,instruct,Q8_0,2-3B,2-3B,False,False,False,Gemma,2.614341888,3.11,,0.8444745303773904,1.004580082478365,0.08570113489599077,
gemma3:1b,95,1.9263157894736842,0.6465263157894737,0.7854000913365397,0.0,0.0,19.261473684210525,355.25042105263157,7.958842105263158,15119.254736842106,2.45,1.6846153846153846,,0.04414736842105263,gemma3,Google,dense,instruct,Q4_K_M,0-1B,0-1B,False,False,False,Gemma,0.999885952,0.95,,2.027700831024931,1.9265355069951862,0.24203467841130025,
gemma3:1b-it-q8_0,95,1.8578947368421053,0.6194736842105263,0.8557165651462062,0.0,0.0,16.13905263157895,334.0588421052632,9.057684210526316,16924.403157894736,2.216666666666667,1.6923076923076923,,0.047988105263157894,gemma3,Google,dense,instruct,Q8_0,0-1B,0-1B,False,False,False,Gemma,0.999885952,1.21,,1.535450195737277,1.8581066501893462,0.20511807363332094,
gemma3:1b-it-qat,95,2.026315789473684,0.6487894736842105,0.8913545186622045,0.0,0.0,17.448,403.8408421052631,7.388736842105263,17094.01789473684,2.5,1.8076923076923077,,0.037622526315789474,gemma3,Google,dense,instruct,Q4_0,0-1B,0-1B,False,False,False,Gemma,0.999885952,1.14,,1.7774699907663898,2.0265469130960287,0.2742438704714145,
gemma3:4b,95,2.931578947368421,0.8214105263157896,0.8950529709624271,0.0,0.0,7.5712631578947365,119.55652631578947,22.418526315789475,18711.242105263158,3.3833333333333333,2.723076923076923,,0.12097852631578948,gemma3,Google,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,Gemma,4.299915632,2.94,,0.9971356963838167,0.6817759226603405,0.13076590789572534,
gemma3:4b-it-q4_K_M,95,2.931578947368421,0.8214105263157896,0.9156166574401422,0.0,0.0,7.49621052631579,116.41568421052631,22.77957894736842,18471.930526315788,3.4,2.7153846153846155,,0.11148852631578947,gemma3,Google,dense,instruct,Q4_K_M,3-4B,3-4B,False,False,False,Gemma,4.299915632,2.94,,0.9971356963838167,0.6817759226603405,0.12869328946517195,
gemma3:4b-it-q8_0,95,2.768421052631579,0.761263157894737,1.0231639661753784,0.0,0.0,5.160631578947369,85.474,29.117578947368422,21008.116842105264,3.3666666666666667,2.4923076923076923,,0.143228,gemma3,Google,dense,instruct,Q8_0,3-4B,3-4B,False,False,False,Gemma,4.299915632,4.58,,0.6044587451160653,0.6438314817223323,0.09507730905909616,
gemma3:4b-it-qat,95,2.778947368421053,0.7786105263157895,0.9245924619012982,0.0,0.0,5.050210526315789,74.4218947368421,34.443684210526314,15674.519999999999,3.3333333333333335,2.523076923076923,0.08644031578947367,0.08644031578947367,gemma3,Google,dense,instruct,Q4_0,3-4B,3-4B,False,False,False,Gemma,4.300079472,3.6,131072.0,0.7719298245614036,0.6462548858727355,0.08068089788059839,32.14874151072295
